1,"Los Angeles, CA",366,"3,533,290"
2,"Chicago O'Hare, IL",325,"2,714,840"
3,"Atlanta, GA",355,"2,466,050"
4,"Denver, CO",297,"2,386,310"
5,"San Francisco, CA",406,"2,294,060"
6,"Boston, MA",349,"2,239,260"
7,"Seattle/Tacoma, WA",345,"2,138,610"
