1,"Philadelphia, PA",391,"1,483,080"
2,"Minneapolis/St. Paul, MN",376,"1,460,380"
3,"Baltimore, MD",323,"1,407,440"
4,"Ft. Lauderdale, FL",241,"1,360,150"
5,"Detroit, MI",375,"1,356,010"
6,"Washington Reagan, VA",347,"1,337,650"
7,"San Diego, CA",353,"1,321,530"
8,"Portland, OR",325,"1,162,510"
9,"Houston Bush, TX",406,"1,142,380"
10,"Tampa, FL",314,"1,100,230"
11,"Chicago Midway, IL",290,"1,007,020"
